dataset,instance,n,m,alpha,best_of,avg_of,std_of,iters,fls_max_iter
Geo,Geo 100 1.txt,100,10,0.1,89.37009359869798,86.9580106420111,2.274830023327994,100,200
Geo,Geo 100 1.txt,100,10,0.2,89.37009359869798,86.88241237307179,2.123428542648774,100,200
Geo,Geo 100 1.txt,100,10,0.3,89.37009359869798,86.88394173968882,2.171972274847548,100,200
Geo,Geo 100 1.txt,100,10,0.4,89.37009359869798,87.05304959619235,2.1327361062911603,100,200
Geo,Geo 100 1.txt,100,10,0.5,89.37009359869798,87.29327174641267,2.0535293532023737,100,200
Geo,Geo 100 1.txt,100,10,0.6,89.37009359869798,86.8878685003451,2.413974410443854,100,200
Geo,Geo 100 1.txt,100,10,0.7,89.37009359869798,86.9627871117511,2.1544894902778506,100,200
Geo,Geo 100 1.txt,100,10,0.8,89.37009359869798,86.83343880907891,2.263987473604943,100,200
Geo,Geo 100 1.txt,100,10,0.9,89.37009359869798,87.08313501467596,2.1803267279948355,100,200
Geo,Geo 100 10.txt,100,10,0.1,163.6755990871439,161.71527017540225,0.8721730200129959,100,200
Geo,Geo 100 10.txt,100,10,0.2,163.6755990871439,161.75099331717448,0.7316531985464998,100,200
Geo,Geo 100 10.txt,100,10,0.3,163.6755990871439,161.74334374518804,0.8420569402286551,100,200
Geo,Geo 100 10.txt,100,10,0.4,163.6755990871439,161.7395255072397,0.9139879079126242,100,200
Geo,Geo 100 10.txt,100,10,0.5,163.6755990871439,161.6448259278608,1.0153554931339668,100,200
Geo,Geo 100 10.txt,100,10,0.6,163.6755990871439,161.70394760180295,0.7082275356025343,100,200
Geo,Geo 100 10.txt,100,10,0.7,163.6755990871439,161.79105744807757,0.8694437769881022,100,200
Geo,Geo 100 10.txt,100,10,0.8,163.6755990871439,161.71159096037837,0.7402338583381644,100,200
Geo,Geo 100 10.txt,100,10,0.9,163.6755990871439,161.7767004986316,1.1614365608810167,100,200
Geo,Geo 100 11.txt,100,10,0.1,133.95857445157253,130.76930377224315,2.9342808249296737,100,200
Geo,Geo 100 11.txt,100,10,0.2,133.95857445157253,130.65254370573774,2.9427390967229345,100,200
Geo,Geo 100 11.txt,100,10,0.3,133.95857445157253,130.08764530337345,3.2279440885054136,100,200
Geo,Geo 100 11.txt,100,10,0.4,133.95857445157253,130.48264815935303,3.063500365247743,100,200
Geo,Geo 100 11.txt,100,10,0.5,133.95857445157253,130.93543000607124,2.849997018405639,100,200
Geo,Geo 100 11.txt,100,10,0.6,133.95857445157253,131.174338491248,2.6322853738712264,100,200
Geo,Geo 100 11.txt,100,10,0.7,133.95857445157253,130.8627435220305,2.8752416906207325,100,200
Geo,Geo 100 11.txt,100,10,0.8,133.95857445157253,130.80559742887192,2.8763143345799826,100,200
Geo,Geo 100 11.txt,100,10,0.9,133.95857445157253,130.79814351564397,3.3257270913371304,100,200
Geo,Geo 100 12.txt,100,10,0.1,147.15436251439385,143.76414394655964,2.2932975312487476,100,200
Geo,Geo 100 12.txt,100,10,0.2,147.15436251439385,143.409456786301,2.279408344118812,100,200
Geo,Geo 100 12.txt,100,10,0.3,147.15436251439385,144.30270321000538,2.0403625771768366,100,200
Geo,Geo 100 12.txt,100,10,0.4,147.15436251439385,143.68888693746442,2.273363829166676,100,200
Geo,Geo 100 12.txt,100,10,0.5,147.15436251439385,143.86123546327147,2.1519744533351317,100,200
Geo,Geo 100 12.txt,100,10,0.6,147.15436251439385,144.0313313623723,2.1903728609674045,100,200
Geo,Geo 100 12.txt,100,10,0.7,147.15436251439385,143.64451646008618,2.457449850582583,100,200
Geo,Geo 100 12.txt,100,10,0.8,147.15436251439385,143.99877681506018,2.122570391054416,100,200
Geo,Geo 100 12.txt,100,10,0.9,147.15436251439385,143.86793081764333,2.2414282693855307,100,200
Geo,Geo 100 13.txt,100,10,0.1,55.362973957432196,52.91649372887315,2.0581603904113708,100,200
Geo,Geo 100 13.txt,100,10,0.2,55.362973957432196,53.182686367344225,1.867629777492281,100,200
Geo,Geo 100 13.txt,100,10,0.3,55.362973957432196,53.00972671859863,1.8896979382453156,100,200
Geo,Geo 100 13.txt,100,10,0.4,55.362973957432196,53.19135620160012,2.0748782732259934,100,200
Geo,Geo 100 13.txt,100,10,0.5,55.362973957432196,53.254701010590885,1.7054859802899935,100,200
Geo,Geo 100 13.txt,100,10,0.6,55.362973957432196,53.74437808444808,1.5841705121076173,100,200
Geo,Geo 100 13.txt,100,10,0.7,55.362973957432196,53.13480763239523,1.6671494380010712,100,200
Geo,Geo 100 13.txt,100,10,0.8,55.362973957432196,53.13678230775724,1.9026008133892929,100,200
Geo,Geo 100 13.txt,100,10,0.9,55.362973957432196,53.124477731146165,1.9081652014406134,100,200
Geo,Geo 100 14.txt,100,10,0.1,88.04261963928474,86.37427510319148,1.9623581615108159,100,200
