inst_idx,dataset,group,instance,n,m,method,param,iter,of
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.1,1,134.967085353741
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.1,2,128.30029235648482
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.1,3,131.3809200718256
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.1,4,135.83529921292333
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.1,5,123.19441780668384
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.3,1,107.24229563591645
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.3,2,113.48627771189892
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.3,3,126.2071727544579
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.3,4,116.79439874802925
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.3,5,116.98451338212868
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.5,1,101.53901890264981
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.5,2,114.08771402341137
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.5,3,104.58502829686317
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.5,4,97.03866141128124
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.5,5,121.0995910030454
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.7,1,88.1775364244792
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.7,2,85.41236505746507
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.7,3,100.5796058459449
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.7,4,84.687092830981
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.7,5,96.03898767344548
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.9,1,78.67887337211032
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.9,2,85.41236505746507
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.9,3,86.0743913936042
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.9,4,84.3349898000542
1,Geo,first10,Geo 100 9.txt,100,10,CGR,0.9,5,83.58813031370447
1,Geo,first10,Geo 100 9.txt,100,10,CGR2,0.1,1,123.58916527758831
1,Geo,first10,Geo 100 9.txt,100,10,CGR2,0.1,2,122.88899923226644
