dataset,instance,n,m,frac,alpha,time_limit_s,runs,es_size,time_doing_grasp,best_es_of,best_global_of,relative_dev,is_best,avg_of,std_of
Geo,Geo 100 1.txt,100,10,0.1,0.1,15,3,5,0.6,89.37009359869798,89.37009359869798,0.0,1,89.37009359869798,0.0
Geo,Geo 100 1.txt,100,10,0.1,0.1,15,3,10,0.6,89.37009359869798,89.37009359869798,0.0,1,89.37009359869798,0.0
Geo,Geo 100 1.txt,100,10,0.1,0.1,15,3,15,0.6,89.37009359869798,89.37009359869798,0.0,1,89.37009359869798,0.0
Geo,Geo 100 2.txt,100,10,0.1,0.1,15,3,5,0.6,96.65720822177802,96.65720822177802,0.0,1,96.65720822177802,0.0
Geo,Geo 100 2.txt,100,10,0.1,0.1,15,3,10,0.6,96.65720822177802,96.65720822177802,0.0,1,96.65720822177802,0.0
Geo,Geo 100 2.txt,100,10,0.1,0.1,15,3,15,0.6,96.65720822177802,96.65720822177802,0.0,1,96.65720822177802,0.0
Geo,Geo 100 3.txt,100,10,0.1,0.1,15,3,5,0.6,76.45274080588156,76.45274080588156,0.0,1,76.45274080588156,0.0
Geo,Geo 100 3.txt,100,10,0.1,0.1,15,3,10,0.6,76.45274080588156,76.45274080588156,0.0,1,76.45274080588156,0.0
Geo,Geo 100 3.txt,100,10,0.1,0.1,15,3,15,0.6,76.45274080588156,76.45274080588156,0.0,1,76.45274080588156,0.0
Geo,Geo 100 4.txt,100,10,0.1,0.1,15,3,5,0.6,103.00551627178258,103.00551627178258,0.0,1,103.00551627178258,0.0
Geo,Geo 100 4.txt,100,10,0.1,0.1,15,3,10,0.6,103.00551627178258,103.00551627178258,0.0,1,103.00551627178258,0.0
Geo,Geo 100 4.txt,100,10,0.1,0.1,15,3,15,0.6,103.00551627178258,103.00551627178258,0.0,1,103.00551627178258,0.0
Geo,Geo 100 5.txt,100,10,0.1,0.1,15,3,5,0.6,119.71817657120152,119.71817657120152,0.0,1,119.71817657120152,0.0
Geo,Geo 100 5.txt,100,10,0.1,0.1,15,3,10,0.6,119.71817657120152,119.71817657120152,0.0,1,119.71817657120152,0.0
Geo,Geo 100 5.txt,100,10,0.1,0.1,15,3,15,0.6,119.71817657120152,119.71817657120152,0.0,1,119.71817657120152,0.0
Geo,Geo 100 6.txt,100,10,0.1,0.1,15,3,5,0.6,36.52406610024951,36.52406610024951,0.0,1,36.52406610024951,0.0
Geo,Geo 100 6.txt,100,10,0.1,0.1,15,3,10,0.6,36.52406610024951,36.52406610024951,0.0,1,36.52406610024951,0.0
Geo,Geo 100 6.txt,100,10,0.1,0.1,15,3,15,0.6,36.52406610024951,36.52406610024951,0.0,1,36.52406610024951,0.0
Geo,Geo 100 7.txt,100,10,0.1,0.1,15,3,5,0.6,189.20910948327403,189.20910948327403,0.0,1,189.20910948327403,0.0
Geo,Geo 100 7.txt,100,10,0.1,0.1,15,3,10,0.6,189.20910948327403,189.20910948327403,0.0,1,189.20910948327403,0.0
Geo,Geo 100 7.txt,100,10,0.1,0.1,15,3,15,0.6,189.20910948327403,189.20910948327403,0.0,1,189.20910948327403,0.0
Geo,Geo 100 8.txt,100,10,0.1,0.1,15,3,5,0.6,110.0244160784281,110.0244160784281,0.0,1,110.0244160784281,0.0
Geo,Geo 100 8.txt,100,10,0.1,0.1,15,3,10,0.6,110.0244160784281,110.0244160784281,0.0,1,110.0244160784281,0.0
Geo,Geo 100 8.txt,100,10,0.1,0.1,15,3,15,0.6,110.0244160784281,110.0244160784281,0.0,1,110.0244160784281,0.0
Geo,Geo 100 9.txt,100,10,0.1,0.1,15,3,5,0.6,141.2358864095616,141.2358864095616,0.0,1,141.2358864095616,0.0
Geo,Geo 100 9.txt,100,10,0.1,0.1,15,3,10,0.6,141.2358864095616,141.2358864095616,0.0,1,141.2358864095616,0.0
Geo,Geo 100 9.txt,100,10,0.1,0.1,15,3,15,0.6,141.2358864095616,141.2358864095616,0.0,1,141.2358864095616,0.0
Geo,Geo 100 10.txt,100,10,0.1,0.1,15,3,5,0.6,163.6755990871439,163.6755990871439,0.0,1,163.6755990871439,0.0
Geo,Geo 100 10.txt,100,10,0.1,0.1,15,3,10,0.6,163.6755990871439,163.6755990871439,0.0,1,163.6755990871439,0.0
Geo,Geo 100 10.txt,100,10,0.1,0.1,15,3,15,0.6,163.6755990871439,163.6755990871439,0.0,1,163.6755990871439,0.0
Geo,Geo 100 11.txt,100,30,0.3,0.1,15,3,5,0.6,102.19418556229365,102.19418556229365,0.0,1,102.19418556229364,0.0
Geo,Geo 100 11.txt,100,30,0.3,0.1,15,3,10,0.6,102.19418556229365,102.19418556229365,0.0,1,102.19418556229364,0.0
Geo,Geo 100 11.txt,100,30,0.3,0.1,15,3,15,0.6,102.19418556229365,102.19418556229365,0.0,1,102.19418556229364,0.0
Geo,Geo 100 12.txt,100,30,0.3,0.1,15,3,5,0.6,117.47992279564289,117.47992279564289,0.0,1,116.84390447231577,0.4497328693835091
Geo,Geo 100 12.txt,100,30,0.3,0.1,15,3,10,0.6,116.5258953106522,117.47992279564289,0.00812077044560394,0,116.50189109142501,0.03394709238528191
Geo,Geo 100 12.txt,100,30,0.3,0.1,15,3,15,0.6,117.47992279564289,117.47992279564289,0.0,1,116.84390447231577,0.4497328693835091
Geo,Geo 100 13.txt,100,30,0.3,0.1,15,3,5,0.6,29.83045137845435,29.83045137845435,0.0,1,29.830451378454352,0.0
Geo,Geo 100 13.txt,100,30,0.3,0.1,15,3,10,0.6,29.83045137845435,29.83045137845435,0.0,1,29.78489631138535,0.06442459368379502
Geo,Geo 100 13.txt,100,30,0.3,0.1,15,3,15,0.6,29.83045137845435,29.83045137845435,0.0,1,29.830451378454352,0.0
Geo,Geo 100 14.txt,100,30,0.3,0.1,15,3,5,0.6,54.08348170590176,54.08348170590176,0.0,1,54.08348170590176,0.0
Geo,Geo 100 14.txt,100,30,0.3,0.1,15,3,10,0.6,54.08348170590176,54.08348170590176,0.0,1,54.08348170590176,0.0
Geo,Geo 100 14.txt,100,30,0.3,0.1,15,3,15,0.6,54.08348170590176,54.08348170590176,0.0,1,54.08348170590176,0.0
Geo,Geo 100 15.txt,100,30,0.3,0.1,15,3,5,0.6,144.47778671245527,144.47778671245527,0.0,1,144.47778671245527,0.0
Geo,Geo 100 15.txt,100,30,0.3,0.1,15,3,10,0.6,144.47778671245527,144.47778671245527,0.0,1,144.47778671245527,0.0
Geo,Geo 100 15.txt,100,30,0.3,0.1,15,3,15,0.6,144.47778671245527,144.47778671245527,0.0,1,144.47778671245527,0.0
Geo,Geo 100 16.txt,100,30,0.3,0.1,15,3,5,0.6,122.37612756776825,122.37612756776825,0.0,1,122.37612756776825,0.0
Geo,Geo 100 16.txt,100,30,0.3,0.1,15,3,10,0.6,122.37612756776825,122.37612756776825,0.0,1,122.37612756776825,0.0
Geo,Geo 100 16.txt,100,30,0.3,0.1,15,3,15,0.6,122.37612756776825,122.37612756776825,0.0,1,122.37612756776825,0.0
Geo,Geo 100 17.txt,100,30,0.3,0.1,15,3,5,0.6,130.34825145332064,130.34825145332064,0.0,1,130.34825145332064,0.0
Geo,Geo 100 17.txt,100,30,0.3,0.1,15,3,10,0.6,130.34825145332064,130.34825145332064,0.0,1,130.34825145332064,0.0
Geo,Geo 100 17.txt,100,30,0.3,0.1,15,3,15,0.6,130.34825145332064,130.34825145332064,0.0,1,130.34825145332064,0.0
Geo,Geo 100 18.txt,100,30,0.3,0.1,15,3,5,0.6,109.86908651486671,109.86908651486671,0.0,1,109.86908651486671,0.0
Geo,Geo 100 18.txt,100,30,0.3,0.1,15,3,10,0.6,109.86908651486671,109.86908651486671,0.0,1,109.86908651486671,0.0
