instance,algo,param_name,param_value,run_id,seed,objective
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,1,12345,83.0245767055852
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,2,12346,80.92125314815507
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,3,12347,75.81548690053543
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,4,12348,74.09943835267003
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,5,12349,73.80749849587515
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,6,12350,71.21345858704876
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,7,12351,77.17047317116962
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,8,12352,75.77696507774924
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,9,12353,82.93574741589057
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,10,12354,81.48836902359484
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,11,12355,72.1416251390601
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,12,12356,70.20917006052574
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,13,12357,68.99258753022684
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,14,12358,75.91039870641882
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,15,12359,79.39064392595732
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,16,12360,78.8337436374087
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,17,12361,81.48836902359484
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,18,12362,67.3713698429416
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,19,12363,86.17334179586763
instances\Geo\Geo 100 1.txt,GRC,alpha,0.1,20,12364,75.91039870641882
instances\Geo\Geo 100 1.txt,GRC,alpha,0.2,1,12345,75.4114330653186
instances\Geo\Geo 100 1.txt,GRC,alpha,0.2,2,12346,69.58574692140274
instances\Geo\Geo 100 1.txt,GRC,alpha,0.2,3,12347,64.34644380393613
instances\Geo\Geo 100 1.txt,GRC,alpha,0.2,4,12348,65.24232827615691
instances\Geo\Geo 100 1.txt,GRC,alpha,0.2,5,12349,75.91039870641882
instances\Geo\Geo 100 1.txt,GRC,alpha,0.2,6,12350,75.59119748461227
instances\Geo\Geo 100 1.txt,GRC,alpha,0.2,7,12351,78.85742690105543
instances\Geo\Geo 100 1.txt,GRC,alpha,0.2,8,12352,75.14722633874216
instances\Geo\Geo 100 1.txt,GRC,alpha,0.2,9,12353,77.17047317116962
instances\Geo\Geo 100 1.txt,GRC,alpha,0.2,10,12354,72.74495967469011
instances\Geo\Geo 100 1.txt,GRC,alpha,0.2,11,12355,65.07343872855144
instances\Geo\Geo 100 1.txt,GRC,alpha,0.2,12,12356,76.70174159541524
