dataset,instance,n,m,frac,method,best_method_of,best_global_of,relative_dev,is_best,reps,time_limit_s,alpha,avg_best_of,std_best_of,avg_time_per_rep_s,es_size,time_doing_grasp
Geo,Geo 100 1.txt,100,10,0.1,GRASP,89.37009359869798,89.37009359869798,0.0,1,3,15.0,0.1,89.37009359869798,0.0,15.004006226857504,,
Geo,Geo 100 1.txt,100,10,0.1,GRASP_PR,89.37009359869798,89.37009359869798,0.0,1,3,15.0,0.1,89.37009359869798,0.0,15.00067694981893,10,0.6
Geo,Geo 100 2.txt,100,10,0.1,GRASP,96.65720822177802,96.65720822177802,0.0,1,3,15.0,0.1,96.65720822177802,0.0,15.001305023829142,,
Geo,Geo 100 2.txt,100,10,0.1,GRASP_PR,96.65720822177802,96.65720822177802,0.0,1,3,15.0,0.1,96.65720822177802,0.0,15.00057601928711,10,0.6
Geo,Geo 100 3.txt,100,10,0.1,GRASP,76.45274080588156,76.45274080588156,0.0,1,3,15.0,0.1,76.45274080588156,0.0,15.001592556635538,,
Geo,Geo 100 3.txt,100,10,0.1,GRASP_PR,76.45274080588156,76.45274080588156,0.0,1,3,15.0,0.1,76.45274080588156,0.0,15.00043773651123,10,0.6
Geo,Geo 100 4.txt,100,10,0.1,GRASP,103.00551627178258,103.00551627178258,0.0,1,3,15.0,0.1,103.00551627178258,0.0,15.000645637512207,,
Geo,Geo 100 4.txt,100,10,0.1,GRASP_PR,103.00551627178258,103.00551627178258,0.0,1,3,15.0,0.1,103.00551627178258,0.0,15.000482082366943,10,0.6
Geo,Geo 100 5.txt,100,10,0.1,GRASP,119.71817657120152,119.71817657120152,0.0,1,3,15.0,0.1,119.71817657120152,0.0,15.002084493637085,,
Geo,Geo 100 5.txt,100,10,0.1,GRASP_PR,119.71817657120152,119.71817657120152,0.0,1,3,15.0,0.1,119.71817657120152,0.0,15.000693400700888,10,0.6
