dataset,instance,n,m,alpha,time_limit_s,runs,es_size,time_doing_grasp,best_of,avg_of,std_of,avg_grasp_iters
Geo,Geo 100 1.txt,100,10,0.3,10,2,5,0.4,89.37009359869798,89.37009359869798,0.0,866.0
Geo,Geo 100 1.txt,100,10,0.3,10,2,10,0.4,89.37009359869798,89.37009359869798,0.0,838.0
Geo,Geo 100 1.txt,100,10,0.3,10,2,15,0.4,89.37009359869798,89.37009359869798,0.0,848.5
Geo,Geo 100 1.txt,100,10,0.3,10,2,20,0.4,89.37009359869798,89.37009359869798,0.0,875.5
Geo,Geo 100 10.txt,100,10,0.3,10,2,5,0.4,163.6755990871439,163.6755990871439,0.0,865.0
Geo,Geo 100 10.txt,100,10,0.3,10,2,10,0.4,163.6755990871439,163.6755990871439,0.0,679.0
Geo,Geo 100 10.txt,100,10,0.3,10,2,15,0.4,163.6755990871439,163.6755990871439,0.0,692.0
Geo,Geo 100 10.txt,100,10,0.3,10,2,20,0.4,163.6755990871439,163.6755990871439,0.0,654.0
Geo,Geo 100 1.txt,100,30,0.3,10,2,5,0.4,54.93139905753977,54.93139905753977,0.0,95.0
Geo,Geo 100 1.txt,100,30,0.3,10,2,10,0.4,55.4623448244696,55.19687194100469,0.2654728834649127,78.0
Geo,Geo 100 1.txt,100,30,0.3,10,2,15,0.4,55.4623448244696,55.19687194100469,0.2654728834649127,96.5
Geo,Geo 100 1.txt,100,30,0.3,10,2,20,0.4,55.4623448244696,55.4623448244696,0.0,89.5
Geo,Geo 100 10.txt,100,30,0.3,10,2,5,0.4,131.60364685538087,131.60364685538087,0.0,109.5
Geo,Geo 100 10.txt,100,30,0.3,10,2,10,0.4,131.60364685538087,131.60364685538087,0.0,79.5
Geo,Geo 100 10.txt,100,30,0.3,10,2,15,0.4,131.60364685538087,131.60364685538087,0.0,101.0
Geo,Geo 100 10.txt,100,30,0.3,10,2,20,0.4,131.60364685538087,131.60364685538087,0.0,108.0
Geo,Geo 250 1.txt,250,25,0.3,10,2,5,0.4,171.01069431541816,171.01069431541816,0.0,35.0
Geo,Geo 250 1.txt,250,25,0.3,10,2,10,0.4,171.01069431541816,171.01069431541816,0.0,25.5
Geo,Geo 250 1.txt,250,25,0.3,10,2,15,0.4,171.01069431541816,171.01069431541816,0.0,31.0
Geo,Geo 250 1.txt,250,25,0.3,10,2,20,0.4,171.01069431541816,171.01069431541816,0.0,29.5
Geo,Geo 250 10.txt,250,25,0.3,10,2,5,0.4,102.11942863077826,102.11942863077826,0.0,32.0
Geo,Geo 250 10.txt,250,25,0.3,10,2,10,0.4,101.30874396847776,101.03990836089525,0.2688356075824956,26.0
Geo,Geo 250 10.txt,250,25,0.3,10,2,15,0.4,102.22717864710907,102.22717864710907,0.0,29.5
Geo,Geo 250 10.txt,250,25,0.3,10,2,20,0.4,102.11942863077826,102.11942863077826,0.0,31.0
Geo,Geo 250 1.txt,250,75,0.3,10,2,5,0.4,144.46274390864795,144.38004548030148,0.08269842834647534,6.0
Geo,Geo 250 1.txt,250,75,0.3,10,2,10,0.4,144.297347051955,144.297347051955,0.0,9.5
Geo,Geo 250 1.txt,250,75,0.3,10,2,15,0.4,144.297347051955,144.19355301714444,0.10379403481056215,13.5
Geo,Geo 250 1.txt,250,75,0.3,10,2,20,0.4,144.46274390864795,144.2762514454909,0.1864924631570375,9.0
Geo,Geo 250 10.txt,250,75,0.3,10,2,5,0.4,72.12023325352298,71.42562821809872,0.6946050354242672,4.5
Geo,Geo 250 10.txt,250,75,0.3,10,2,10,0.4,72.12023325352298,71.84091029236922,0.279322961153774,9.5
Geo,Geo 250 10.txt,250,75,0.3,10,2,15,0.4,71.8015336663461,71.36623581081342,0.4352978555326814,9.5
Geo,Geo 250 10.txt,250,75,0.3,10,2,20,0.4,72.04561591616535,71.67420005180296,0.3714158643623833,10.5
Ran,Ran 100 1.txt,100,10,0.3,10,2,5,0.4,73.0,73.0,0.0,863.5
Ran,Ran 100 1.txt,100,10,0.3,10,2,10,0.4,73.0,73.0,0.0,661.0
Ran,Ran 100 1.txt,100,10,0.3,10,2,15,0.4,73.0,73.0,0.0,658.0
Ran,Ran 100 1.txt,100,10,0.3,10,2,20,0.4,73.0,73.0,0.0,733.0
Ran,Ran 100 10.txt,100,10,0.3,10,2,5,0.4,75.0,75.0,0.0,733.5
Ran,Ran 100 10.txt,100,10,0.3,10,2,10,0.4,75.0,75.0,0.0,709.0
Ran,Ran 100 10.txt,100,10,0.3,10,2,15,0.4,75.0,75.0,0.0,737.0
Ran,Ran 100 10.txt,100,10,0.3,10,2,20,0.4,75.0,75.0,0.0,639.5
Ran,Ran 100 1.txt,100,30,0.3,10,2,5,0.4,54.0,54.0,0.0,129.5
Ran,Ran 100 1.txt,100,30,0.3,10,2,10,0.4,54.0,54.0,0.0,139.0
Ran,Ran 100 1.txt,100,30,0.3,10,2,15,0.4,54.0,54.0,0.0,123.5
Ran,Ran 100 1.txt,100,30,0.3,10,2,20,0.4,54.0,54.0,0.0,112.0
Ran,Ran 100 10.txt,100,30,0.3,10,2,5,0.4,55.0,55.0,0.0,126.0
Ran,Ran 100 10.txt,100,30,0.3,10,2,10,0.4,55.0,55.0,0.0,106.0
