dataset,n,m,alpha,time_limit_s,runs,es_size,time_doing_grasp,Dev_avg_%,#Best,num_instances
Geo,100,10,0.3,10,2,5,0.4,0.0,2,2
Geo,100,10,0.3,10,2,10,0.4,0.0,2,2
Geo,100,10,0.3,10,2,15,0.4,0.0,2,2
Geo,100,10,0.3,10,2,20,0.4,0.0,2,2
Geo,100,30,0.3,10,2,5,0.4,0.47865427310204156,1,2
Geo,100,30,0.3,10,2,10,0.4,0.0,2,2
Geo,100,30,0.3,10,2,15,0.4,0.0,2,2
Geo,100,30,0.3,10,2,20,0.4,0.0,2,2
Geo,250,25,0.3,10,2,5,0.4,0.05270125702224822,1,2
Geo,250,25,0.3,10,2,10,0.4,0.4492125728138185,1,2
Geo,250,25,0.3,10,2,15,0.4,0.0,2,2
Geo,250,25,0.3,10,2,20,0.4,0.05270125702224822,1,2
Geo,250,75,0.3,10,2,5,0.4,0.0,2,2
Geo,250,75,0.3,10,2,10,0.4,0.05724550573313925,1,2
Geo,250,75,0.3,10,2,15,0.4,0.2781956973780838,0,2
Geo,250,75,0.3,10,2,20,0.4,0.05173120911529491,1,2
Ran,100,10,0.3,10,2,5,0.4,0.0,2,2
Ran,100,10,0.3,10,2,10,0.4,0.0,2,2
Ran,100,10,0.3,10,2,15,0.4,0.0,2,2
Ran,100,10,0.3,10,2,20,0.4,0.0,2,2
Ran,100,30,0.3,10,2,5,0.4,0.0,2,2
Ran,100,30,0.3,10,2,10,0.4,0.0,2,2
Ran,100,30,0.3,10,2,15,0.4,0.0,2,2
Ran,100,30,0.3,10,2,20,0.4,0.0,2,2
Ran,250,25,0.3,10,2,5,0.4,0.0,2,2
Ran,250,25,0.3,10,2,10,0.4,0.8333333333333334,1,2
Ran,250,25,0.3,10,2,15,0.4,0.0,2,2
Ran,250,25,0.3,10,2,20,0.4,0.0,2,2
Ran,250,75,0.3,10,2,5,0.4,0.0,2,2
Ran,250,75,0.3,10,2,10,0.4,0.0,2,2
Ran,250,75,0.3,10,2,15,0.4,0.0,2,2
Ran,250,75,0.3,10,2,20,0.4,0.0,2,2
