dataset,instance,n,m,constructive,local_search,best_method_of,best_global_of,relative_dev,is_best,avg_time_per_iter,avg_of,std_of,iters,alpha_teua,beta
Geo,Geo 100 1.txt,100,10,CGR,BLS,89.25464766392196,89.37009359869798,0.0012917736809632413,0,0.001304845999693498,82.3604894966863,3.5794567548814498,100,0.1,
Geo,Geo 100 1.txt,100,10,CGR,FLS,89.37009359869798,89.37009359869798,0.0,1,0.01270499499863945,87.15296293818601,2.11639239700017,100,0.1,
Geo,Geo 100 1.txt,100,10,CGR2,BLS,89.37009359869798,89.37009359869798,0.0,1,0.0016033759992569686,82.7668935889351,4.123385495795126,100,,0.9
Geo,Geo 100 1.txt,100,10,CGR2,FLS,89.37009359869798,89.37009359869798,0.0,1,0.009123361998354085,86.88673859048225,1.9142703907437593,100,,0.9
Geo,Geo 100 2.txt,100,10,CGR,BLS,95.38475588784836,96.65720822177802,0.013164588108214833,0,0.0012703070015413686,88.88140939094464,2.5729789275925525,100,0.1,
Geo,Geo 100 2.txt,100,10,CGR,FLS,96.65720822177802,96.65720822177802,0.0,1,0.008655396996764465,93.25592300088259,1.7985838406844907,100,0.1,
Geo,Geo 100 2.txt,100,10,CGR2,BLS,94.28174365482153,96.65720822177802,0.024576176062379534,0,0.0009557609987678006,88.56774673748924,2.2630530585632815,100,,0.9
Geo,Geo 100 2.txt,100,10,CGR2,FLS,96.65720822177802,96.65720822177802,0.0,1,0.00537715100159403,92.52092510263384,2.082211150763177,100,,0.9
Geo,Geo 100 3.txt,100,10,CGR,BLS,76.23324894595311,76.45274080588156,0.002870948217353743,0,0.0011436760006472467,68.25029901121033,3.251890467769889,100,0.1,
Geo,Geo 100 3.txt,100,10,CGR,FLS,76.45274080588156,76.45274080588156,0.0,1,0.0073526220058556645,73.10345710743437,2.317281437215448,100,0.1,
Geo,Geo 100 3.txt,100,10,CGR2,BLS,76.45274080588156,76.45274080588156,0.0,1,0.0010017830005381255,67.58943201640623,3.4906559217471123,100,,0.9
Geo,Geo 100 3.txt,100,10,CGR2,FLS,76.45274080588156,76.45274080588156,0.0,1,0.0062216349964728575,73.21465621088258,2.380141795242221,100,,0.9
Geo,Geo 100 4.txt,100,10,CGR,BLS,101.76248227360219,103.00551627178258,0.01206764494923377,0,0.0011572590033756569,97.2573147231204,3.481825201259486,100,0.1,
Geo,Geo 100 4.txt,100,10,CGR,FLS,103.00551627178258,103.00551627178258,0.0,1,0.007104240003391169,100.7450762202942,1.7097433429177273,100,0.1,
Geo,Geo 100 4.txt,100,10,CGR2,BLS,102.73864748679121,103.00551627178258,0.0025908203235177614,0,0.0008859200024744496,96.53729579451094,3.3357922155639703,100,,0.9
