dataset,n,m,constructive,local_search,Dev_avg,#Best,num_instances,iters_per_method
Geo,100,10,CGR,BLS,0.005803994739275184,3,10,100
Geo,100,10,CGR,FLS,0.00016010414504514863,9,10,100
Geo,100,10,CGR2,BLS,0.013760522771953259,4,10,100
Geo,100,10,CGR2,FLS,0.0,10,10,100
Geo,100,30,CGR,BLS,0.009419710495324436,1,10,100
Geo,100,30,CGR,FLS,0.0008634742321197086,8,10,100
Geo,100,30,CGR2,BLS,0.01449022161601336,2,10,100
Geo,100,30,CGR2,FLS,0.0,10,10,100
Geo,250,25,CGR,BLS,0.0177413795781853,0,10,100
Geo,250,25,CGR,FLS,8.28228037809277e-06,9,10,100
Geo,250,25,CGR2,BLS,0.020026188679651488,0,10,100
Geo,250,25,CGR2,FLS,0.001050608509389964,7,10,100
Geo,250,75,CGR,BLS,0.01504007082987729,0,10,100
Geo,250,75,CGR,FLS,6.21665076477914e-05,9,10,100
Geo,250,75,CGR2,BLS,0.015979635410876457,0,10,100
Geo,250,75,CGR2,FLS,0.0012655397119485628,6,10,100
Geo,500,50,CGR,BLS,0.03530280230946058,0,10,100
Geo,500,50,CGR,FLS,0.0016371788497566027,7,10,100
Geo,500,50,CGR2,BLS,0.035526186055128195,0,10,100
Geo,500,50,CGR2,FLS,0.002749764886649898,4,10,100
Geo,500,150,CGR,BLS,0.019414337320339488,0,10,100
Geo,500,150,CGR,FLS,0.0006841260543091519,6,10,100
Geo,500,150,CGR2,BLS,0.01912993713194275,0,10,100
Geo,500,150,CGR2,FLS,0.0015464557078042234,5,10,100
Ran,100,10,CGR,BLS,0.013423917067752686,4,10,100
Ran,100,10,CGR,FLS,0.002684684684684685,8,10,100
Ran,100,10,CGR2,BLS,0.020199679131185984,1,10,100
Ran,100,10,CGR2,FLS,0.002666666666666667,9,10,100
Ran,100,30,CGR,BLS,0.01090909090909091,4,10,100
Ran,100,30,CGR,FLS,0.0036363636363636364,8,10,100
Ran,100,30,CGR2,BLS,0.01090909090909091,4,10,100
Ran,100,30,CGR2,FLS,0.0018181818181818182,9,10,100
Ran,250,25,CGR,BLS,0.015,2,10,100
Ran,250,25,CGR,FLS,0.0016666666666666666,9,10,100
Ran,250,25,CGR2,BLS,0.016694915254237285,2,10,100
Ran,250,25,CGR2,FLS,0.0,10,10,100
Ran,250,75,CGR,BLS,0.0038461538461538464,8,10,100
Ran,250,75,CGR,FLS,0.0019230769230769232,9,10,100
Ran,250,75,CGR2,BLS,0.0038461538461538464,8,10,100
Ran,250,75,CGR2,FLS,0.0019230769230769232,9,10,100
Ran,500,50,CGR,BLS,0.01090909090909091,4,10,100
Ran,500,50,CGR,FLS,0.005454545454545454,7,10,100
Ran,500,50,CGR2,BLS,0.01090909090909091,4,10,100
Ran,500,50,CGR2,FLS,0.0018181818181818182,9,10,100
Ran,500,150,CGR,BLS,0.02,9,10,100
Ran,500,150,CGR,FLS,0.02,9,10,100
Ran,500,150,CGR2,BLS,0.045,8,10,100
Ran,500,150,CGR2,FLS,0.0,10,10,100
